pid,model,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,divergences,discontinuities
546ec14dfdf99b2bc7ebd032,RWModel,0.0,-20.94971116015222,1.5133564472198486,0.0,0.7877382912585063,4.512362239755064,0.0,1.0,0.0,0.0
546ec14dfdf99b2bc7ebd032,Bayes,1.0,-22.6610703880433,1.578529953956604,1.71135922789108,3.2446644467521263e-16,3.973672324120074,2.7461094444111738,0.0,0.0,0.0
546ec14dfdf99b2bc7ebd032,WSLS,2.0,-26.078509408514947,0.8602639436721802,5.128798248362728,0.2122617087414934,4.751703061329085,4.500841963549897,0.0,0.0,0.0
548491acfdf99b0379939cc0,RWModel,0.0,-17.74433755859718,0.4076261520385742,0.0,1.0,2.823323755415186,0.0,0.0,0.0,0.0
548491acfdf99b0379939cc0,Bayes,1.0,-23.78821592067834,3.36506986618042,6.043878362081159,1.6042722705833512e-14,3.802352734586953,2.344923880871471,1.0,0.0,0.0
548491acfdf99b0379939cc0,WSLS,2.0,-27.82765832776204,0.9680572152137756,10.083320769164857,0.0,4.658823319772881,4.559216805455311,0.0,0.0,0.0
557e6713fdf99b66d60a2da8,Bayes,0.0,-22.287197776837274,1.5724928379058838,0.0,0.0,4.315816047988384,0.0,0.0,0.0,0.0
557e6713fdf99b66d60a2da8,WSLS,1.0,-22.4948311757762,0.9825410842895508,0.207633398938924,0.7393967304656006,5.0628530984146325,1.812557742501233,0.0,0.0,0.0
557e6713fdf99b66d60a2da8,RWModel,2.0,-25.171208034842493,1.463066816329956,2.884010258005219,0.2606032695343994,4.984859697344673,2.2819623409552454,1.0,0.0,0.0
55895b93fdf99b6bd06017c4,RWModel,0.0,-24.183514664895483,1.5412306785583496,0.0,0.790314303705098,4.838644954377999,0.0,1.0,0.0,0.0
55895b93fdf99b6bd06017c4,Bayes,1.0,-26.741476421477277,1.9533157348632808,2.55796175658179,4.6022288177738496e-15,3.74225883971037,2.4035979095581945,0.0,0.0,0.0
55895b93fdf99b6bd06017c4,WSLS,2.0,-29.371251144446436,0.9849405288696288,5.187736479550949,0.2096856962948974,4.501720731967759,4.426703857912087,0.0,0.0,0.0
5599b975fdf99b37246adc79,WSLS,0.0,-39.7408690340817,0.7376260757446289,0.0,0.6789930749782432,2.257736818683081,0.0,0.0,0.0,0.0
5599b975fdf99b37246adc79,Bayes,1.0,-39.95353227388114,0.9060984253883362,0.2126632397994399,0.3210069250217569,1.5726361299018976,1.1045866559611692,0.0,0.0,0.0
5599b975fdf99b37246adc79,RWModel,2.0,-41.24162306354265,0.7208072543144226,1.5007540294609498,0.0,1.071133959158613,1.73602731519889,0.0,0.0,0.0
559b1e92fdf99b426abb6227,Bayes,0.0,-40.52666279161349,1.192451000213623,0.0,1.0,0.9880137033079996,0.0,0.0,0.0,0.0
559b1e92fdf99b426abb6227,RWModel,1.0,-41.57297982182909,0.325433611869812,1.0463170302156035,1.942890293094024e-15,0.5825987333825594,1.3218052514537155,0.0,0.0,0.0
559b1e92fdf99b426abb6227,WSLS,2.0,-42.31623424240388,0.1563870012760162,1.7895714507903904,0.0,0.4938931098842697,1.449038418573988,0.0,0.0,0.0
55a4323dfdf99b02ff6caf81,RWModel,0.0,-37.34611147265797,1.6486822366714478,0.0,0.947981441704157,3.0178187134660988,0.0,0.0,0.0,0.0
55a4323dfdf99b02ff6caf81,Bayes,1.0,-39.63711865292862,1.1286271810531616,2.291007180270655,1.5435786531983406e-16,1.9966341568427184,2.129286980565196,0.0,0.0,0.0
55a4323dfdf99b02ff6caf81,WSLS,2.0,-40.255246941931546,0.7502077221870422,2.90913546927358,0.0520185582958429,2.0622362678527506,2.4583259215259914,0.0,0.0,0.0
55a43cf3fdf99b02ff6cb0b4,Bayes,0.0,-23.34141259593889,1.409753680229187,0.0,4.939146484913712e-17,3.980719663349092,0.0,0.0,0.0,0.0
55a43cf3fdf99b02ff6cb0b4,RWModel,1.0,-24.017592934684217,1.1613969802856443,0.6761803387453256,0.5040809663252741,4.297742211397654,2.924245120468764,1.0,0.0,0.0
55a43cf3fdf99b02ff6cb0b4,WSLS,2.0,-24.33526359894313,0.8950493335723877,0.993851003004238,0.4959190336747259,4.8954448075022015,1.7628937917022292,0.0,0.0,0.0
55abb1a5fdf99b501fab62e3,Bayes,0.0,-10.709666750975884,1.2584408521652222,0.0,0.6370707666439872,4.0879996393093485,0.0,1.0,0.0,0.0
55abb1a5fdf99b501fab62e3,RWModel,1.0,-11.357161920299404,0.5691498517990112,0.6474951693235198,0.3629292333560196,3.0604402348642163,2.878726030509671,0.0,0.0,0.0
55abb1a5fdf99b501fab62e3,WSLS,2.0,-27.786269704112783,0.928178369998932,17.0766029531369,0.0,4.6616140371454335,5.069619755384824,0.0,0.0,0.0
55aeaeb3fdf99b5c769f1f7c,Bayes,0.0,-7.413461286661914,1.2193540334701538,0.0,0.7244116373507622,2.007050347500726,0.0,0.0,0.0,0.0
55aeaeb3fdf99b5c769f1f7c,RWModel,1.0,-9.828830746638689,1.734785556793213,2.415369459976773,0.2755883626490327,3.815695174337412,3.636977956624347,1.0,0.0,0.0
55aeaeb3fdf99b5c769f1f7c,WSLS,2.0,-36.306805764790624,0.8788015246391296,28.89334447812871,2.0505819264826641e-13,3.266100082295819,3.5579872877684573,0.0,0.0,0.0
55b8d0bffdf99b0f2859fe73,Bayes,0.0,-13.07443546509603,1.2856252193450928,0.0,0.5905302454527229,4.227858433003618,0.0,1.0,0.0,0.0
